2021-08-21 23:51:04,946 - agents.Base_Agent - INFO - 0 -- CartPole
2021-08-21 23:51:04,946 - agents.Base_Agent - INFO - 1 -- DISCRETE
2021-08-21 23:51:04,946 - agents.Base_Agent - INFO - 2 -- 2
2021-08-21 23:51:04,946 - agents.Base_Agent - INFO - 3 -- None
2021-08-21 23:51:04,946 - agents.Base_Agent - INFO - 4 -- 4
2021-08-21 23:51:04,947 - agents.Base_Agent - INFO - 5 -- {'learning_rate': 0.01, 'batch_size': 256, 'buffer_size': 40000, 'epsilon': 1.0, 'epsilon_decay_rate_denominator': 1, 'discount_rate': 0.99, 'tau': 0.01, 'alpha_prioritised_replay': 0.6, 'beta_prioritised_replay': 0.1, 'incremental_td_error': 1e-08, 'update_every_n_steps': 1, 'linear_hidden_units': [30, 15], 'final_layer_activation': 'None', 'batch_norm': False, 'gradient_clipping_norm': 0.7, 'learning_iterations': 1, 'clip_rewards': False}
2021-08-21 23:51:04,947 - agents.Base_Agent - INFO - 6 -- 195.0
2021-08-21 23:51:04,947 - agents.Base_Agent - INFO - 7 -- 100
2021-08-21 23:51:04,947 - agents.Base_Agent - INFO - 8 -- cpu
2021-08-21 23:51:04,956 - agents.Base_Agent - INFO - Reseting game -- New start state [ 0.03073904  0.00145001 -0.03088818 -0.03131252]
2021-08-21 23:51:05,424 - agents.Base_Agent - INFO - Q values tensor([[158896.5938, 164124.3281]]) -- Action chosen 1
2021-08-21 23:51:05,572 - agents.Base_Agent - INFO - Q values tensor([[111289.1484, 108856.5547]]) -- Action chosen 1
2021-08-21 23:51:05,606 - agents.Base_Agent - INFO - Q values tensor([[57330.9570, 49079.7656]]) -- Action chosen 0
2021-08-21 23:51:05,639 - agents.Base_Agent - INFO - Q values tensor([[43947.6016, 38596.8867]]) -- Action chosen 0
2021-08-21 23:51:05,672 - agents.Base_Agent - INFO - Q values tensor([[33986.5391, 31440.0410]]) -- Action chosen 1
2021-08-21 23:51:05,688 - agents.Base_Agent - INFO - Q values tensor([[19199.3398, 15282.6572]]) -- Action chosen 1
2021-08-21 23:51:05,706 - agents.Base_Agent - INFO - Q values tensor([[10771.7998,  5510.0161]]) -- Action chosen 1
2021-08-21 23:51:05,723 - agents.Base_Agent - INFO - Q values tensor([[ -390.6405, -7025.1782]]) -- Action chosen 1
2021-08-21 23:51:05,756 - agents.Base_Agent - INFO - Q values tensor([[-12158.1719, -20607.7500]]) -- Action chosen 1
2021-08-21 23:51:05,789 - agents.Base_Agent - INFO - Q values tensor([[-18501.4551, -29162.9336]]) -- Action chosen 0
2021-08-21 23:51:05,822 - agents.Base_Agent - INFO - Q values tensor([[-15193.0020, -25406.4629]]) -- Action chosen 0
2021-08-21 23:51:05,856 - agents.Base_Agent - INFO - Q values tensor([[-11755.6699, -21552.7227]]) -- Action chosen 1
2021-08-21 23:51:05,889 - agents.Base_Agent - INFO - Q values tensor([[-13168.7285, -24677.9414]]) -- Action chosen 0
2021-08-21 23:51:05,922 - agents.Base_Agent - INFO - Q values tensor([[ -9505.9082, -20747.1953]]) -- Action chosen 1
2021-08-21 23:51:05,954 - agents.Base_Agent - INFO - Q values tensor([[-10676.8477, -23756.0039]]) -- Action chosen 1
2021-08-21 23:51:05,972 - agents.Base_Agent - INFO - Q values tensor([[-11600.0801, -26631.0957]]) -- Action chosen 0
2021-08-21 23:51:05,988 - agents.Base_Agent - INFO - Q values tensor([[ -7422.8887, -22532.3105]]) -- Action chosen 0
2021-08-21 23:51:06,022 - agents.Base_Agent - INFO - Q values tensor([[ -3113.2224, -18374.9512]]) -- Action chosen 1
2021-08-21 23:51:06,055 - agents.Base_Agent - INFO - Q values tensor([[ -3696.1501, -21069.6602]]) -- Action chosen 0
2021-08-21 23:51:06,088 - agents.Base_Agent - INFO - Q values tensor([[   897.3263, -16761.9688]]) -- Action chosen 0
2021-08-21 23:51:06,122 - agents.Base_Agent - INFO - Q values tensor([[  5939.1113, -12017.0322]]) -- Action chosen 0
2021-08-21 23:51:06,155 - agents.Base_Agent - INFO - Q values tensor([[10631.7949, -7648.3950]]) -- Action chosen 1
2021-08-21 23:51:06,169 - agents.Base_Agent - INFO - Reseting game -- New start state [ 0.03073904  0.00145001 -0.03088818 -0.03131252]
2021-08-21 23:51:06,171 - agents.Base_Agent - INFO - Q values tensor([[158896.5938, 164124.3281]]) -- Action chosen 0
2021-08-21 23:51:06,189 - agents.Base_Agent - INFO - Q values tensor([[174060.9219, 184797.6875]]) -- Action chosen 0
2021-08-21 23:51:06,206 - agents.Base_Agent - INFO - Q values tensor([[202404.5312, 219567.7188]]) -- Action chosen 1
2021-08-21 23:51:06,239 - agents.Base_Agent - INFO - Q values tensor([[183622.8906, 195125.6719]]) -- Action chosen 0
